id,is_acvite,name,description,tags,packages,number_of_units,created_time,updated_time
2,1,"DAILY CONVERSATION - INTERMEDIATE","Giao tiếp hàng ngày - Trình độ Trung cấp",,,93,1970-01-01 08:34:22.000000,
3,1,"DAILY CONVERSATION - ADVANCED","Tiếng Anh giao tiếp - Trình độ Nâng cao",,,22,1970-01-01 08:34:26.000000,
4,1,"BUSINESS ENGLISH BASIC","Tiếng Anh kinh doanh - Trình độ cơ bản",,,30,1970-01-01 08:34:57.000000,
5,1,"OXFORD PHONICS WORLD","Học tiếng Anh theo phương pháp đánh vần. Dành cho trẻ em từ 5-7 tuổi.",,,71,1970-01-01 08:35:26.000000,
6,1,"LEARN ENGLISH THROUGH NEWS ARTICLES","Học tiếng Anh qua nội dung báo chí cập nhật",,,30,1970-01-01 08:35:07.000000,
7,1,"PRONUNCIATION BASIC","Học phát âm cơ bản",,,24,1970-01-01 08:34:45.000000,
8,1,"FAMILY AND FRIENDS 5","Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi. Cấp độ 5",,,27,1970-01-01 08:35:22.000000,1666168610587
9,1,"DAILY CONVERSATION - ELEMENTARY","Daily conversation with interesting topics",,,62,1970-01-01 08:35:17.000000,
12,1,"BUỔI HỌC TRẢI NGHIỆM","Buổi học trải nghiệm hệ thống của iSpeak",,,0,1970-01-01 08:35:04.000000,
13,1,"SIDE BY SIDE 4","Giáo trình tiếng Anh giao tiếp dành cho trẻ em từ 10-14 tuổi. Cấp độ 4",,,38,1970-01-01 08:35:26.000000,
14,1,"LET'S GO 1","Dành cho trẻ em 5-8 tuổi (Mẫu giáo lớn và các lớp đầu tiểu học)",,,20,1970-01-01 08:35:03.000000,
25,1,"FREE TALK","Thảo luận tự do với giáo viên - Chủ đề tự chọn",,,1,1970-01-01 08:35:07.000000,
26,1,"IELTS SPEAKING","Luyện thi IELTS Speaking",,,169,1970-01-01 08:34:35.000000,
27,1,"BUSINESS ENGLISH - MARKET LEADER - ELEMENTARY","Tiếng Anh kinh doanh - Market Leader - Trình độ Sơ cấp",,,19,1970-01-01 08:35:08.000000,
28,1,"BUSINESS ENGLISH - MARKET LEADER - INTERMEDIATE","Tiếng Anh kinh doanh - Market Leader - Trình độ Trung cấp",,,19,1970-01-01 08:34:34.000000,
29,1,"SCIENCE - GRADE 1","Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 1",,,31,1970-01-01 08:34:42.000000,
30,1,"BUSINESS ENGLISH - MARKET LEADER - UPPER INTERMEDIATE","Tiếng Anh kinh doanh - Market Leader - Trình độ Nâng cao",,,18,1970-01-01 08:35:57.000000,
31,1,"BUSINESS ENGLISH - MARKET LEADER - PRE-INTERMEDIATE","Tiếng Anh kinh doanh - Market Leader - Trình độ trước Trung cấp",,,19,1970-01-01 08:34:58.000000,
32,1,"BUSINESS ENGLISH - MARKET LEADER - ADVANCED","Tiếng Anh thương mại - Market Leader - Trình độ Cao cấp",,,20,1970-01-01 08:35:17.000000,
33,1,"SCIENCE - GRADE 2","Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 2",,,37,1970-01-01 08:35:17.000000,
34,1,"SCIENCE - GRADE 3","Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 3",,,41,1970-01-01 08:35:26.000000,
35,1,"SCIENCE - GRADE 4","Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 4",,,41,1970-01-01 08:35:35.000000,
36,1,"SCIENCE - GRADE 5","Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 5",,,8,1970-01-01 08:35:18.000000,
37,1,"SCIENCE - GRADE 6","Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 6",,,69,1970-01-01 08:34:57.000000,
38,1,"FAMILY AND FRIENDS ALPHABET (n/a)","Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi",,,0,1970-01-01 08:35:18.000000,
39,1,"FAMILY AND FRIENDS STARTER","Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi - Cấp độ Bắt đầu",,,26,1970-01-01 08:35:19.000000,
40,1,"FAMILY AND FRIENDS 1","Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi. Cấp độ 1",,,39,1970-01-01 08:35:42.000000,
41,1,"FAMILY AND FRIENDS 2","Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi. Cấp độ 2",,,33,1970-01-01 08:35:36.000000,
42,1,"FAMILY AND FRIENDS 3","Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi. Cấp độ 3",,,40,1970-01-01 08:35:17.000000,
43,1,"FAMILY AND FRIENDS 4","Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi. Cấp độ 4",,,44,1970-01-01 08:34:50.000000,
44,1,"FAMILY AND FRIENDS 6","Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi. Cấp độ 6",,,36,1970-01-01 08:35:19.000000,
45,1,"LET'S GO 2","Dành cho trẻ em 5-8 tuổi (Mẫu giáo lớn và các lớp đầu tiểu học)",,,20,1970-01-01 08:35:43.000000,
46,1,"LET'S GO 3","Dành cho trẻ em 5-8 tuổi (Mẫu giáo lớn và các lớp đầu tiểu học)",,,20,1970-01-01 08:35:26.000000,
47,1,"LET'S GO 4","Dành cho trẻ em 5-8 tuổi (Mẫu giáo lớn và các lớp đầu tiểu học)",,,20,1970-01-01 08:35:18.000000,
48,1,"SIDE BY SIDE 1","Giáo trình tiếng Anh giao tiếp dành cho trẻ em từ 6-12 tuổi. Cấp độ 1",,,36,1970-01-01 08:35:56.000000,
49,1,"SIDE BY SIDE 2","Giáo trình giao tiếp cho học sinh 8 - 13 tuổi. Cấp độ 2",,,27,1970-01-01 08:35:26.000000,
50,1,"SIDE BY SIDE 3","Giáo trình giao tiếp tiếng Anh. Trẻ em 8-12 tuổi. Cấp độ 3",,,41,1970-01-01 08:35:29.000000,
51,1,"SOLUTIONS ELEMENTARY","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,28,1970-01-01 08:35:13.000000,
52,1,"SOLUTIONS PRE-INTERMEDIATE","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,10,1970-01-01 08:36:12.000000,
53,1,"SOLUTIONS INTERMEDIATE","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,10,1970-01-01 08:36:09.000000,
54,1,"SOLUTIONS UPPER-INTERMEDIATE","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,10,1970-01-01 08:35:48.000000,
55,1,"SOLUTIONS ADVANCED","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,10,1970-01-01 08:35:28.000000,
56,1,"VOCABULARY","Học từ vựng với nhiều chủ đề đa dạng, phong phú trong cuộc sống",,,1,1970-01-01 08:35:42.000000,
57,1,"OXFORD READ AND DISCOVERY - LEVEL 1","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 3 - lớp 5",,,31,1970-01-01 08:35:22.000000,
58,1,"OXFORD READ AND DISCOVERY - LEVEL 2","Giáo trình Oxford Read and Discovery - Level 2",,,42,1970-01-01 08:34:49.000000,
59,1,"OXFORD READ AND DISCOVERY - LEVEL 3","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 6 - lớp 8",,,58,1970-01-01 08:35:23.000000,
60,1,"OXFORD READ AND DISCOVERY - LEVEL 4","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 7 - lớp 9",,,50,1970-01-01 08:35:52.000000,
61,1,"OXFORD READ AND DISCOVERY - LEVEL 5","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 7 - lớp 9",,,80,1970-01-01 08:35:31.000000,
62,1,"OXFORD READ AND DISCOVERY - LEVEL 6","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 7 - lớp 9",,,80,1970-01-01 08:35:21.000000,
63,1,"ENGLISH FOR BEGINNER","Dành cho người mới bắt đầu học tiếng Anh",,,10,1970-01-01 08:35:11.000000,
64,1,"NEW ENGLISH FILE - BEGINNER","Giáo trình học tiếng Anh dành cho người trên 15 tuổi (Đại học Oxford biên soạn)",,,28,1970-01-01 08:35:22.000000,
65,1,"NEW ENGLISH FILE - ELEMENTARY","NEW ENGLISH FILE - ELEMENTARY",,,34,1970-01-01 08:35:31.000000,
66,1,"NEW ENGLISH FILE - PRE-INTERMEDIATE","NEW ENGLISH FILE - PRE-INTERMEDIATE",,,36,1970-01-01 08:34:57.000000,
67,1,"NEW ENGLISH FILE - INTERMEDIATE","NEW ENGLISH FILE - INTERMEDIATE",,,27,1970-01-01 08:35:03.000000,
68,1,"NEW ENGLISH FILE - UPPER  INTERMEDIATE","NEW ENGLISH FILE - UPPER  INTERMEDIATE",,,29,1970-01-01 08:35:38.000000,
69,1,"NEW ENGLISH FILE - ADVANCED","NEW ENGLISH FILE - ADVANCED",,,34,1970-01-01 08:35:02.000000,
70,1,"GRAMMAR IN USE - INTERMEDIATE","Sử dụng ngữ pháp tiếng Anh chuẩn mực",,,145,1970-01-01 08:35:31.000000,
71,1,"GRAMMAR IN USE - ADVANCED","Sử dụng ngữ pháp tiếng Anh chuẩn mực - trình độ cao",,,102,1970-01-01 08:35:33.000000,
72,1,"LET'S GO 5","Let's Go 5",,,20,1970-01-01 08:35:21.000000,
73,1,"TOEIC Beginner Pre-intermediate Vocabulary Grammar I","TOEIC Beginner Pre-intermediate Vocabulary Grammar",,,50,1970-01-01 08:34:55.000000,
74,1,"TOEIC Beginner Pre-intermediate Vocabulary Grammar II","TOEIC Beginner Pre-intermediate Vocabulary Grammar II",,,50,1970-01-01 08:35:14.000000,
75,1,"TOEIC Beginner Pre-intermediate Reading Listening I","TOEIC Beginner Pre-intermediate Reading Listening I",,,50,1970-01-01 08:35:10.000000,
76,1,"TOEIC Beginner Pre-intermediate Reading Listening II","TOEIC Beginner Pre-intermediate Reading Listening II",,,50,1970-01-01 08:34:55.000000,
77,1,"TOEIC Intermediate Advanced Vocabulary Grammar I","TOEIC Intermediate Advanced Vocabulary Grammar I",,,50,1970-01-01 08:35:25.000000,
78,1,"TOEIC Intermediate Advanced Vocabulary Grammar II","TOEIC Intermediate Advanced Vocabulary Grammar II",,,50,1970-01-01 08:35:24.000000,
79,1,"TOEIC Intermediate Advanced Reading Listening I","TOEIC Intermediate Advanced Reading Listening I",,,50,1970-01-01 08:35:18.000000,
80,1,"TOEIC Intermediate Advanced Reading Listening II","TOEIC Intermediate Advanced Reading Listening II",,,50,1970-01-01 08:34:54.000000,
81,1,"OUR DISCOVERY ISLAND - STARTER","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,10,1970-01-01 08:35:16.000000,
82,1,"OUR DISCOVERY ISLAND - LEVEL 1","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,11,1970-01-01 08:34:58.000000,
83,1,"OUR DISCOVERY ISLAND - LEVEL 2","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,10,1970-01-01 08:35:47.000000,
84,1,"OUR DISCOVERY ISLAND - LEVEL 3","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,10,1970-01-01 08:35:40.000000,
85,1,"THE LAWYERS' ENGLISH LANGUAGE MODULE 1","The courses are aimed at lawyers, legal professionals, law graduates and law students. They include preparation for International Legal English Exams (ILEC & TOLES).",,,10,1970-01-01 08:34:42.000000,
86,1,"THE LAWYERS' ENGLISH LANGUAGE MODULE 2","The courses are aimed at lawyers, legal professionals, law graduates and law students. They include preparation for International Legal English Exams (ILEC & TOLES).",,,10,1970-01-01 08:35:21.000000,
87,1,"LET'S GO 0 - BEGIN","Dành cho trẻ em 5-8 tuổi (Mẫu giáo lớn và các lớp đầu tiểu học)",,,20,1970-01-01 08:35:36.000000,
88,1,"Cambridge Fun for Movers (Module 1)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Movers.",,,17,1970-01-01 08:34:38.000000,
89,1,"PEPPA PIG SERIES","Học tiếng Anh vui cùng giáo trình Peppa Pig",,,15,1970-01-01 08:34:22.000000,
90,1,"Cambridge Fun for Movers (Module 2)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Movers.",,,18,1970-01-01 08:35:00.000000,
91,1,"Cambridge Fun for Movers (Module 3)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Movers.",,,18,1970-01-01 08:35:24.000000,
92,1,"Cambridge Fun for Starters (Module 1)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Starters.",,,15,1970-01-01 08:34:13.000000,
93,1,"Cambridge Fun for Starters (Module 2)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Starters.",,,16,1970-01-01 08:35:43.000000,
94,1,"Cambridge Fun for Starters (Module 3)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Starters.",,,17,1970-01-01 08:34:34.000000,
95,1,"Cambridge Fun for Flyers (Module 1)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Flyers.",,,19,1970-01-01 08:35:11.000000,
96,1,"Cambridge Fun for Flyers (Module 2)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Flyers.",,,20,1970-01-01 08:35:01.000000,
97,1,"Cambridge Fun for Flyers (Module 3)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Flyers.",,,20,1970-01-01 08:35:36.000000,
98,1,"MATH CONCEPT GRADE 1","Học toán tiểu học qua giáo trình của HARCOURT SCHOOL PUBLISHERS (Hoa Kỳ)",,,8,1970-01-01 08:35:23.000000,
99,1,"MATH CONCEPT GRADE 2","Toán tiểu học - Lớp 2 - Chương trình Mỹ",,,8,1970-01-01 08:35:38.000000,
100,1,"MATH CONCEPT GRADE 3","Toán tiểu học - Lớp 3 (Chương trình Mỹ)",,,8,1970-01-01 08:35:29.000000,
101,1,"MATH CONCEPT GRADE 4","Toán tiểu học - Lớp 4 - Chương trình Mỹ",,,8,1970-01-01 08:35:11.000000,
102,1,"MATH CONCEPT GRADE 5","Toán tiểu học - Lớp 5 - Chương trình Mỹ",,,8,1970-01-01 08:35:30.000000,
103,1,"MATH CONCEPT GRADE 6","Toán tiểu học - Lớp 5 - Chương trình Mỹ",,,8,1970-01-01 08:34:53.000000,
104,1,"MATH CONCEPT READER GRADE 3","Toán tiểu học - Chương trình Hoa Kỳ",,,0,1970-01-01 08:35:18.000000,
105,1,"ENGLISH FOR ACCOUNTANT","Tiếng Anh chuyên ngành kế toán",,,21,1970-01-01 08:34:57.000000,
106,1,"CAMBRIDGE TEST FOR STARTERS","Luyện tập thực tế các bài thi Cambridge Starters (Listening - Reading - Writing - Speaking)",,,79,1970-01-01 08:35:06.000000,
107,1,"CAMBRIDGE TEST FOR MOVERS","Luyện tập thực tế các bài thi Cambridge Starters (Listening - Reading - Writing - Speaking)",,,81,1970-01-01 08:36:00.000000,
108,1,"CAMBRIDGE TEST FOR FLYERS","Luyện thi Cambridge Flyers (Listening  - Reading - Writing - Speaking)",,,77,1970-01-01 08:35:56.000000,
